Country,Year,Population,GDP (USD),Total Emissions,CO2 Agriculture,CO2 Buildings,CO2 Fuel Exploitation,CO2 Industrial Combustion,CO2 Power Industry,CO2 Processes,CO2 Transport,CO2 Waste,CH4 Agriculture,CH4 Buildings,CH4 Fuel Exploitation,CH4 Industrial Combustion,CH4 Power Industry,CH4 Processes,CH4 Transport,CH4 Waste ,F-Gases Processes,N2O Agriculture,N2O Buildings,N2O Fuel Exploitation,N2O Industrial Combustion,N2O Power Industry,N2O Processes,N2O Transport,N2O Waste
Afghanistan,1990,10694796,,13.77560449,0.069404749,1.129404126,0.03016029,0.318583159,0.605739349,0.146229659,0.596968549,,6.741466244,0.035834336,0.323028299,0.000895068,0.000408238,,0.00620001,1.769478152,0.000170367,1.841688343,0.009898608,0.000702811,0.001298496,0.000977361,0.018182124,0.007783115,0.121103034
Afghanistan,1991,10745167,,13.85465351,0.068461893,1.088312375,0.030030553,0.285225024,0.563089531,0.159273286,0.571954471,,6.802219128,0.036219506,0.311291463,0.000809747,0.000377981,,0.006387235,1.87490321,0.001109189,1.895661881,0.009672573,0.000716934,0.001174488,0.000907422,0.017409511,0.007516787,0.121929321
Afghanistan,1992,12057433,,12.90364914,0.062542847,0.683813063,0.025252708,0.070689053,0.333830283,0.168744574,0.337745464,,6.880183113,0.035018424,0.265155377,0.000235482,0.000230862,,0.004078459,2.015700736,0.001754508,1.866133758,0.007394296,0.000741095,0.000342609,0.00054593,0.012171807,0.004550443,0.126794246
Afghanistan,1993,14003760,,13.07113038,0.062857131,0.609653826,0.025078898,0.067471692,0.353456549,0.147781266,0.341978487,,6.946393219,0.037837611,0.248197976,0.00023456,0.000248197,,0.004493919,2.174928064,0.002831944,1.885228014,0.007484108,0.000810719,0.00033893,0.000582853,0.012460676,0.004410444,0.13637129
Afghanistan,1994,15455555,,13.228593,,0.732939263,0.025070287,0.093570484,0.229274686,0.13044538,0.324473239,,7.17291372,0.040971781,0.258488741,0.000270525,0.000187308,,0.005030307,2.325125046,0.006663274,1.7142482,0.007876114,0.000877454,0.000404103,0.000388141,0.011937146,0.004102304,0.143335494
Afghanistan,1995,16418912,,13.6246765,,0.441103297,0.025074989,0.095919813,0.360239573,0.123304342,0.313866983,,7.459296781,0.069042934,0.274957997,0.000396244,0.000254101,,0.005154249,2.45961917,0.011442707,1.798963124,0.011047792,0.001314294,0.000564492,0.000485382,0.01444224,0.003893423,0.154292574
Afghanistan,1996,17106595,,14.96940783,0.007857141,0.380124153,0.025056531,0.087327785,0.397679841,0.116819094,0.316802938,,8.481238664,0.086379652,0.289071493,0.000398801,0.000266205,,0.00502045,2.565637147,0.017950623,1.992778564,0.012743732,0.001448126,0.000562042,0.000492731,0.015652921,0.003909322,0.164189871
Afghanistan,1997,17788819,,16.06067866,0.007857141,0.404987913,0.025039822,0.078782943,0.39610073,0.118887922,0.283764796,,9.272521498,0.092752069,0.296134839,0.000411442,0.000266259,,0.004907435,2.650145588,0.024772767,2.195377687,0.01408523,0.001584841,0.000572005,0.000494506,0.016046377,0.003253921,0.171930932
Afghanistan,1998,18493132,,16.9107136,0.008642856,0.343091047,0.025033549,0.079176482,0.480629036,0.120478924,0.268762409,,9.840635227,0.097104222,0.305753257,0.000425137,0.000313725,,0.004920272,2.723681505,0.033714116,2.371368744,0.014336341,0.001674815,0.000592203,0.00057442,0.016453133,0.003062714,0.170289471
Afghanistan,1999,19262847,,17.93944796,0.007857141,0.342935121,0.025029522,0.091850406,0.449307342,0.122218904,0.244028219,,10.5827985,0.103168717,0.313945392,0.000465513,0.000284201,,0.004428751,2.80222018,0.049164944,2.593212806,0.01498461,0.001797155,0.000650706,0.000517388,0.016850198,0.002963997,0.168768246
